id,Judul,Link,Thumbnail_link,est_upload_date,current_views
32,"""[Sound K] SECRET NUMBER (?????)\""s Singin\"" Live \""Who Dis?\""""",/watch?v=fFSgCEDh4s4,http://i3.ytimg.com/vi/fFSgCEDh4s4/hqdefault.jpg,6/10/2020,460597
33,"""BTS Commencement Speech | Dear Class Of 2020""",/watch?v=AU6uF5sFtwA,http://i3.ytimg.com/vi/AU6uF5sFtwA/hqdefault.jpg,6/8/2020,7641748
34,"""Cuma Hadirnya Sang Ayah Tretan Muslim yang Berhasil Bikin Dustin Gak Pecicilan (2/6)""",/watch?v=WFCqqmuIfTA,http://i3.ytimg.com/vi/WFCqqmuIfTA/hqdefault.jpg,6/10/2020,527287
35,"""MAWAR PUTIH - KALIA SISKA ft SKA 86 (Cover Kentrung)""",/watch?v=UMG1Fg3Wm7c,http://i3.ytimg.com/vi/UMG1Fg3Wm7c/hqdefault.jpg,6/6/2020,2121011
36,"""THE ONSU FAMILY - HAPPY FAMILY (Official Music Video)""",/watch?v=KatzMCEpRVs,http://i3.ytimg.com/vi/KatzMCEpRVs/hqdefault.jpg,6/5/2020,6107893
37,"""SILET - Upaya Anang Hermansyah Membahagiakan Aurel Dan Azriel [10 Juni 2020]""",/watch?v=Y_vfYqILPDA,http://i3.ytimg.com/vi/Y_vfYqILPDA/hqdefault.jpg,6/11/2020,254959
38,"""BAPAU ASLI INDONESIA - Baim Ajak Tukang Perabotan Ke Rumah [05 Juni 2020]""",/watch?v=qbxcWlta-Aw,http://i3.ytimg.com/vi/qbxcWlta-Aw/hqdefault.jpg,6/6/2020,1300967
39,"""SECRET NUMBER, Who Dis? (?????, Who Dis?) [THE SHOW 200609]""",/watch?v=tKCbpXUi0Jg,http://i3.ytimg.com/vi/tKCbpXUi0Jg/hqdefault.jpg,6/10/2020,481135
40,"""MOP MUSIC S4 | BETRAND PETO PUTRA ONSU Ft. KENTA YAMAGUCHI - KASIH SLOW X JAGA BAE BAE""",/watch?v=et2G8LILNfw,http://i3.ytimg.com/vi/et2G8LILNfw/hqdefault.jpg,6/8/2020,1309630
41,"""ANCAMAN DALAM INDUSTRI MUSIK dibalik KEKE BUKAN BONEKA""",/watch?v=Bi4eAZeZKEE,http://i3.ytimg.com/vi/Bi4eAZeZKEE/hqdefault.jpg,6/6/2020,1143814
42,"""?? ???? ???? ????????""",/watch?v=hY5Rvm8ZuEs,http://i3.ytimg.com/vi/hY5Rvm8ZuEs/hqdefault.jpg,6/10/2020,12588242
43,"""BTS Jungkook - Still With You lyrics (Eng/Rom/Han/??)""",/watch?v=djKdPZiJdvA,http://i3.ytimg.com/vi/djKdPZiJdvA/hqdefault.jpg,6/5/2020,4848071
44,"""TWICE �MORE & MORE� Dance Practice Video""",/watch?v=xiMNWJr8J1w,http://i3.ytimg.com/vi/xiMNWJr8J1w/hqdefault.jpg,6/7/2020,6778150
45,"""Film Gengster Bikin Deg Degkan - Film Action Terbaru 2020 Subtitle Indonesia""",/watch?v=37VeExBlF3w,http://i3.ytimg.com/vi/37VeExBlF3w/hqdefault.jpg,6/6/2020,699619
46,"""THE INVISIBLE MAN ( MAELL & DJARBI MENGHILANG)""",/watch?v=TyA_BMO105I,http://i3.ytimg.com/vi/TyA_BMO105I/hqdefault.jpg,6/5/2020,1122208
47,"""Dory Harsa - Ninggal Tatu [PRACTICE SESSION]""",/watch?v=OmeHwJTgW5o,http://i3.ytimg.com/vi/OmeHwJTgW5o/hqdefault.jpg,6/5/2020,2069535
48,"""Blackpink Takluk Di Tangan Kekeyi - Pingin Siaran | Season 02""",/watch?v=3Zoh-vlXIyc,http://i3.ytimg.com/vi/3Zoh-vlXIyc/hqdefault.jpg,6/6/2020,987644
49,"""THANK YOU UDIL""",/watch?v=aLOA1b_p3tI,http://i3.ytimg.com/vi/aLOA1b_p3tI/hqdefault.jpg,6/9/2020,700589
50,"""Jungkook (BTS ?????) - Still With You (Vertical Video) Cover""",/watch?v=y1i3IYDoZ-4,http://i3.ytimg.com/vi/y1i3IYDoZ-4/hqdefault.jpg,6/8/2020,403589
51,"""YANG TERDALAM DI BENAK KU! MAAF""",/watch?v=34uHgAiH4P4,http://i3.ytimg.com/vi/34uHgAiH4P4/hqdefault.jpg,6/5/2020,7512544
52,"""DIY PRANK LUAR BIASA UNTUK TEMAN DAN KELUARGA || Momen Lucu oleh 123 GO! GOLD""",/watch?v=GfQjbD5DOg0,http://i3.ytimg.com/vi/GfQjbD5DOg0/hqdefault.jpg,5/29/2020,3417028
53,"""CERITA LAGU KEKE BUKAN BONEKA""",/watch?v=2K5cMS8N1lo,http://i3.ytimg.com/vi/2K5cMS8N1lo/hqdefault.jpg,6/5/2020,3922948
54,"""KU PUJA PUJA | DJ KENTRUNG | KALIA SISKA ft SKA 86""",/watch?v=-ZNjIy2z0mI,http://i3.ytimg.com/vi/-ZNjIy2z0mI/hqdefault.jpg,5/22/2020,8777530
55,"""[2020 FESTA] BTS (?????) \""Airplane pt.2\"" (Summer ver.) @ 2018 SUMMER PACKAGE in SAIPAN""",/watch?v=uxzxFPvUJAM,http://i3.ytimg.com/vi/uxzxFPvUJAM/hqdefault.jpg,6/5/2020,17423592
56,"""Denny Caknan - PROLIMAN JOYO (Official Music Video)""",/watch?v=xfjQoNkzW74,http://i3.ytimg.com/vi/xfjQoNkzW74/hqdefault.jpg,6/5/2020,1899450
57,"""Lyodra - Gemintang Hatiku (Official Music Video)""",/watch?v=H_x8_LXwTW4,http://i3.ytimg.com/vi/H_x8_LXwTW4/hqdefault.jpg,6/5/2020,3514927
58,"""KEKE BUKAN BONEKA (Acoustic Cover) #StopBullying""",/watch?v=3hKTOtIO1sA,http://i3.ytimg.com/vi/3hKTOtIO1sA/hqdefault.jpg,6/5/2020,2565803
59,"""Lady Gaga, BLACKPINK - Sour Candy (Audio)""",/watch?v=fnPn6At3v28,http://i3.ytimg.com/vi/fnPn6At3v28/hqdefault.jpg,5/29/2020,54825516
60,"""Agust D \""???\"" MV""",/watch?v=qGjAWJ2zWWI,http://i3.ytimg.com/vi/qGjAWJ2zWWI/hqdefault.jpg,5/29/2020,80413698
61,"""BAEKHYUN ?? \""Candy\"" MV""",/watch?v=gmgcRWxhmqY,http://i3.ytimg.com/vi/gmgcRWxhmqY/hqdefault.jpg,5/29/2020,22085541
